run,pallette_number,substrate_barcode
79,13,000001E000289423
79,14,000001E000289426
79,15,000001E000289425
79,16,000001E000289427
79,17,000001E000289428
79,18,000001E000289429
79,19,000001E000289430
79,20,000001E000289431
79,21,000001E000289432
79,22,000001E000289433
79,23,000001E000289434
79,24,000001E000289435
79,25,000001E000289436
79,0,000001E000289515
79,1,000001E000289466
79,2,000001E000289463
79,3,000001E000289464
79,4,000001E000289465
79,5,000001E000289460
79,6,000001E000289461
79,7,000001E000289462
79,8,000001E000289457
79,9,000001E000289458
79,10,000001E000289459
79,11,000001E000289454
79,12,000001E000289455
79,13,000001E000289456
79,14,000001E000289451
79,15,000001E000289452
79,16,000001E000289453
79,17,000001E000289445
79,18,000001E000289446
79,19,000001E000289450
79,20,000001E000289442
79,21,000001E000289443
79,22,000001E000289444
79,23,000001E000289535
79,24,000001E000289537
79,25,000001E000289538
79,0,000001E000289516
79,1,000001E000289437
79,2,000001E000289438
79,3,000001E000289439
79,4,000001E000289440
79,5,000001E000289441
79,6,000001E000289476
79,7,000001E000289477
79,8,000001E000289478
79,9,000001E000289479
79,10,000001E000289480
79,11,000001E000289481
79,12,000001E000289482
79,13,000001E000289483
79,14,000001E000289484
79,15,000001E000289485
79,16,000001E000289486
79,17,000001E000289487
79,18,000001E000289488
79,19,000001E000289489
79,20,000001E000289490
79,21,000001E000289491
79,22,000001E000289492
79,23,000001E000289493
79,24,000001E000289494
79,25,000001E000289495
79,0,000001E000289511
79,1,000001E000289394
79,2,000001E000289395
79,3,000001E000289396
79,4,000001E000289397
79,5,000001E000289391
79,6,000001E000289392
79,7,000001E000289393
79,8,000001E000289388
79,9,000001E000289389
79,10,000001E000289390
79,11,000001E000289386
79,12,000001E000289385
79,13,000001E000289382
79,14,000001E000289384
79,15,000001E000289379
79,16,000001E000289380
79,17,000001E000289381
79,18,000001E000289473
79,19,000001E000289474
79,20,000001E000289475
79,21,000001E000289470
79,22,000001E000289471
79,23,000001E000289472
79,24,000001E000289467
79,25,000001E000289469
