cassette_number,cassette_code,substrate_barcode,pallette_number,run
Cassette 01,A000064,000001E000290359,3,22
Cassette 01,A000064,000001E000290355,4,22
Cassette 01,A000064,000001E000290356,5,22
Cassette 01,A000064,000001E000290357,6,22
Cassette 01,A000064,000001E000290352,7,22
Cassette 01,A000064,000001E000290353,8,22
Cassette 01,A000064,000001E000290354,9,22
Cassette 01,A000064,000001E000290349,10,22
Cassette 01,A000064,000001E000290350,11,22
Cassette 01,A000064,000001E000290351,12,22
Cassette 01,A000064,000001E000290344,13,22
Cassette 01,A000064,000001E000290347,14,22
Cassette 01,A000064,000001E000290348,15,22
Cassette 01,A000064,000001E000290341,16,22
Cassette 01,A000064,000001E000290342,17,22
Cassette 01,A000064,000001E000290343,18,22
Cassette 01,A000064,000001E000290338,19,22
Cassette 01,A000064,000001E000290339,20,22
Cassette 01,A000064,000001E000290340,21,22
Cassette 01,A000064,000001E000290449,22,22
Cassette 01,A000064,000001E000290450,23,22
Cassette 01,A000064,000001E000290452,24,22
Cassette 01,A000064,000001E000290453,25,22
Cassette 02,A000080,000001E000290399,0,22
Cassette 02,A000080,000001E000290448,1,22
Cassette 02,A000080,000001E000290446,2,22
Cassette 02,A000080,000001E000290447,3,22
Cassette 02,A000080,000001E000290439,4,22
Cassette 02,A000080,000001E000290440,5,22
Cassette 02,A000080,000001E000290441,6,22
Cassette 02,A000080,000001E000290436,7,22
Cassette 02,A000080,000001E000290437,8,22
Cassette 02,A000080,000001E000290438,9,22
Cassette 02,A000080,000001E000290430,10,22
Cassette 02,A000080,000001E000290432,11,22
Cassette 02,A000080,000001E000290434,12,22
Cassette 02,A000080,000001E000290504,13,22
Cassette 02,A000080,000001E000290427,14,22
Cassette 02,A000080,000001E000290428,15,22
Cassette 02,A000080,000001E000290429,16,22
Cassette 02,A000080,000001E000290423,17,22
Cassette 02,A000080,000001E000290424,18,22
Cassette 02,A000080,000001E000290426,19,22
Cassette 02,A000080,000001E000290420,20,22
Cassette 02,A000080,000001E000290421,21,22
Cassette 02,A000080,000001E000290422,22,22
Cassette 02,A000080,000001E000290416,23,22
Cassette 02,A000080,000001E000290417,24,22
Cassette 02,A000080,000001E000290418,25,22
Cassette 03,A000047,000001E000290403,0,22
Cassette 03,A000047,000001E000290395,1,22
Cassette 03,A000047,000001E000290391,2,22
Cassette 03,A000047,000001E000290392,3,22
Cassette 03,A000047,000001E000290384,4,22
Cassette 03,A000047,000001E000290386,5,22
Cassette 03,A000047,000001E000290388,6,22
Cassette 03,A000047,000001E000290380,7,22
Cassette 03,A000047,000001E000290381,8,22
Cassette 03,A000047,000001E000290383,9,22
Cassette 03,A000047,000001E000290377,10,22
Cassette 03,A000047,000001E000290378,11,22
Cassette 03,A000047,000001E000290379,12,22
Cassette 03,A000047,000001E000290371,13,22
Cassette 03,A000047,000001E000290372,14,22
Cassette 03,A000047,000001E000290373,15,22
Cassette 03,A000047,000001E000290367,16,22
Cassette 03,A000047,000001E000290368,17,22
Cassette 03,A000047,000001E000290369,18,22
Cassette 03,A000047,000001E000290370,19,22
Cassette 03,A000047,000001E000290364,20,22
Cassette 03,A000047,000001E000290365,21,22
Cassette 03,A000047,000001E000290366,22,22
Cassette 03,A000047,000001E000290361,23,22
Cassette 03,A000047,000001E000290362,24,22
Cassette 03,A000047,000001E000290363,25,22
Cassette 04,A000046,000001E000290404,0,22
Cassette 04,A000046,000001E000290486,1,22
Cassette 04,A000046,000001E000290487,2,22
Cassette 04,A000046,000001E000290488,3,22
Cassette 04,A000046,000001E000290489,4,22
Cassette 04,A000046,000001E000290490,5,22
Cassette 04,A000046,000001E000290491,6,22
Cassette 04,A000046,000001E000290492,7,22
Cassette 04,A000046,000001E000290493,8,22
Cassette 04,A000046,000001E000290494,9,22
Cassette 04,A000046,000001E000290495,10,22
Cassette 04,A000046,000001E000290496,11,22
Cassette 04,A000046,000001E000290498,12,22
Cassette 04,A000046,000001E000290501,13,22
Cassette 04,A000046,000001E000290503,14,22
Cassette 04,A000046,000001E000290505,15,22
Cassette 04,A000046,000001E000290506,16,22
Cassette 04,A000046,000001E000290508,17,22
Cassette 04,A000046,000001E000290509,18,22
Cassette 04,A000046,000001E000290510,19,22
Cassette 04,A000046,000001E000290511,20,22
